"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterArea",50,-0.00474980878821043,0.0188448278559162,0.042418493610985,0.117477139057391,0
"waterArea",100,-0.00293711116424827,0.0206568451215109,0.0442278157153894,0.0861606990357978,0
"waterArea",1000,0.00943493545231309,0.0330201102686095,0.0565685666771166,0.00607871115621472,0
"waterArea",10000,0.0374955898453268,0.0610341229987981,0.0845049650463473,0.000000388675000619785,0
"waterArea",100000,0.12413068745351,0.147291859837529,0.170292620111678,0.0000000000000000000000000000000000887025987495425,0
"waterArea20",50,-0.00434461258915231,0.0192498854244861,0.0428229621236488,0.109797096132461,0
"waterArea20",100,-0.00280884972732478,0.0207850525466222,0.044355826590064,0.0842287266573634,0
"waterArea20",1000,0.00942723635807319,0.0330124188828366,0.0565608915339882,0.00609055960452639,0
"waterArea20",10000,0.0375149798883317,0.0610534679993891,0.0845242437099988,0.000000385395033211929,0
"waterArea20",100000,0.124132934910519,0.147294092944756,0.170294836544908,0.0000000000000000000000000000000000884957330632976,0
"waterArea500",50,-0.0423082658011068,-0.0187344408553189,0.00486023222520217,0.119641591033527,0
"waterArea500",100,-0.0283802080731672,-0.00479089097273929,0.0188037592944588,0.690667663423168,0
"waterArea500",1000,-0.0106987212971124,0.012897058940636,0.036478484372621,0.284027407325385,0
"waterArea500",10000,0.0241136798561643,0.0476790799970117,0.0711915236892356,0.0000741280220273146,0
"waterArea500",100000,0.116070677759505,0.139281793340315,0.162340864662364,0.000000000000000000000000000000304359665154212,0
"waterArea1000",50,-0.0139011085032195,0.00969459585128792,0.033279509055233,0.420656183285403,0
"waterArea1000",100,0.00183124578092115,0.025422672320171,0.0489858162539758,0.0346838264781562,0
"waterArea1000",1000,-0.0165155399013968,0.00707974356620699,0.0306671461556993,0.556482804737429,0
"waterArea1000",10000,0.0246636708919475,0.0482281328825007,0.0717390314250719,0.0000611530383223993,0
"waterArea1000",100000,0.116150334473632,0.139360971331909,0.162419480919207,0.000000000000000000000000000000281470633730751,0
"waterArea5000",50,NA,NA,NA,NA,0
"waterArea5000",100,NA,NA,NA,NA,0
"waterArea5000",1000,-0.0252221841384569,-0.00163062955968649,0.0219627402546675,0.892259693952231,0
"waterArea5000",10000,0.0279292904945771,0.0514878888601504,0.0749893220265806,0.0000187238892467156,0
"waterArea5000",100000,0.11675868650017,0.139965657483744,0.163019867420617,0.00000000000000000000000000000015469352313845,0
"waterBodies",50,-0.0525294238103906,-0.0289728049649086,-0.00538396023276608,0.0160806466677039,0
"waterBodies",100,-0.0567302827206387,-0.0331821691948067,-0.00959715744752271,0.00583384067314459,0
"waterBodies",1000,-0.0738111317736567,-0.0503062096595237,-0.0267454275906757,0.0000289919070656604,0
"waterBodies",10000,-0.0710536719860056,-0.0475408414944398,-0.0239752073974651,0.000155566226086867,0
"waterBodies",100000,-0.10397296769518,-0.0805780996581003,-0.0570941130045641,0.0000000000405636320554513,0
"total_precipitation",50,0.230903406382081,0.253404242831349,0.275634182313317,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000477916190867631,0
"total_precipitation",100,0.232570387830241,0.255051970279854,0.27726113826778,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233753169064672,0
"total_precipitation",1000,0.231982632661769,0.254383414245178,0.27651452172523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134912596979041,0
"total_precipitation",10000,0.229165693073943,0.251399004781875,0.273370133883054,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576258228154442,0
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,0
"distance20",50,-0.0545564469685133,-0.0309472433718475,-0.00730345647162668,0.0103164669559468,0
"distance20",100,-0.0613194500625314,-0.0377250249537789,-0.0140884620531458,0.00176496236520201,0
"distance20",1000,-0.0642942469619057,-0.0407121672614205,-0.017084643727758,0.000736218576675774,0
"distance20",10000,-0.075698298388811,-0.0521785035503922,-0.028600680006995,0.0000146893317293378,0
"distance20",100000,-0.0828741166271831,-0.05939772674321,-0.03585544760725,0.00000157752891349662,0
"distance500",50,-0.044695323671319,-0.0210925286917437,0.00253380114674986,0.0801538392155892,0
"distance500",100,-0.0512644423497207,-0.0276728904900732,-0.00405047136858518,0.0216831935393771,0
"distance500",1000,-0.0556840275758576,-0.0321200384850593,-0.00852028831949868,0.00765009302164863,0
"distance500",10000,-0.0775001721353301,-0.0540063938689608,-0.0304526701600713,0.00000714838673198666,0
"distance500",100000,-0.0716822829276864,-0.0481712235722524,-0.0246066636798067,0.0000623906876807062,0
"distance1000",50,-0.0490695229199758,-0.0220784580609107,0.00494483000036563,0.109293182436236,0
"distance1000",100,-0.0577594192637919,-0.0342100997298727,-0.0106227305369421,0.00448284987422906,0
"distance1000",1000,-0.0606127501309539,-0.0370732402612483,-0.013492516615982,0.00206665875646115,0
"distance1000",10000,-0.0771456293555332,-0.0536507520599815,-0.0300963217879807,0.00000821064008676723,0
"distance1000",100000,-0.064713567964636,-0.0411839208889752,-0.0176085049947977,0.000620888841173558,0
"distance5000",50,NA,NA,NA,NA,0
"distance5000",100,-0.0891217654639702,-0.040153364973556,0.0090086770663548,0.109377397522104,0
"distance5000",1000,-0.0652612330761425,-0.0417295483553547,-0.0181514771033739,0.000525912765326337,0
"distance5000",10000,-0.0776714959332152,-0.0541782508808334,-0.0306248707506318,0.00000668345203896217,0
"distance5000",100000,-0.0629283711578772,-0.0393943326338517,-0.015816507789349,0.00106227732609672,0
"waterArea",50,0.0020423256940865,0.0256336154667602,0.0491963882678711,0.0332078929152665,10
"waterArea",100,0.00352470770259718,0.0271149778021075,0.0506750852963762,0.0242798528774433,10
"waterArea",1000,0.0192782997668984,0.0428513348544074,0.0663767547610944,0.000369436851045519,10
"waterArea",10000,0.0463557855172501,0.0698718950106668,0.0933106016298115,0.00000000621424266478796,10
"waterArea",100000,0.133651343014447,0.156749609328498,0.179677664824598,0.00000000000000000000000000000000000000324136984368886,10
"waterArea20",50,0.00269094151184949,0.0262817978759352,0.0498434171602703,0.0290042971219307,10
"waterArea20",100,0.00396302657261977,0.027552975323014,0.0511122749753004,0.0220750736141777,10
"waterArea20",1000,0.0184419407542402,0.0420161847436978,0.0655437382340127,0.000480241411050895,10
"waterArea20",10000,0.0457094030926059,0.0692272732782137,0.092668447784022,0.00000000855467696771869,10
"waterArea20",100000,0.116826477693035,0.140033039101036,0.16308676886033,0.000000000000000000000000000000144688022883946,10
"waterArea500",50,-0.0203442425453799,0.00324984218108438,0.0268403091744224,0.787204029949018,10
"waterArea500",100,-0.0122524256041719,0.0113433782699645,0.0349265561552855,0.346065715343071,10
"waterArea500",1000,0.0185587818754387,0.0421328589584127,0.0656601163482228,0.000463088218417569,10
"waterArea500",10000,0.0465195916274132,0.0700352518074499,0.0934733299302605,0.00000000572815397226851,10
"waterArea500",100000,0.134090638629879,0.157185900154389,0.180110501056768,0.00000000000000000000000000000000000000199127399977759,10
"waterArea1000",50,-0.00472309935677125,0.0188715283876561,0.0424451555513021,0.116958242022581,10
"waterArea1000",100,0.0091783049684386,0.0327637352223051,0.0563127315429958,0.00648503697237048,10
"waterArea1000",1000,0.00880527751196738,0.0323910735245807,0.0559408491362961,0.00711926655713085,10
"waterArea1000",10000,0.0482071467109534,0.0717181045734232,0.0951496352211069,0.00000000244905412685632,10
"waterArea1000",100000,0.135869655859886,0.158952656702415,0.181863177491974,0.000000000000000000000000000000000000000272907778388557,10
"waterArea5000",50,NA,NA,NA,NA,10
"waterArea5000",100,NA,NA,NA,NA,10
"waterArea5000",1000,-0.0133260787225894,0.0102696749135774,0.0338539974041696,0.393628886349146,10
"waterArea5000",10000,0.0562436630635403,0.0797303913067917,0.103128926436014,0.0000000000328430043484225,10
"waterArea5000",100000,0.138793509715275,0.161856038736014,0.184743104971281,0.00000000000000000000000000000000000000000990387630144176,10
"waterBodies",50,-0.0355600644266867,-0.0119775881516358,0.0116182198359493,0.319768932473696,10
"waterBodies",100,-0.0315410081470909,-0.00795440237954559,0.0156410577837989,0.50878625171626,10
"waterBodies",1000,-0.0571727700501474,-0.0336256010490883,-0.0100410418433523,0.00520860802940034,10
"waterBodies",10000,-0.0744027902556526,-0.0508996119802616,-0.0273399182379388,0.0000233039394925868,10
"waterBodies",100000,-0.144915615505861,-0.121739308209535,-0.0984294863510239,0.00000000000000000000000331938939933572,10
"total_precipitation",50,0.230903406382081,0.253404242831349,0.275634182313317,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000477916190867631,10
"total_precipitation",100,0.232570387830241,0.255051970279854,0.27726113826778,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233753169064672,10
"total_precipitation",1000,0.231982623552945,0.254383405241239,0.276514512834401,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013491484081003,10
"total_precipitation",10000,0.229165693073943,0.251399004781875,0.273370133883054,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576258228154524,10
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,10
"distance20",50,-0.050174509783495,-0.0263157072266882,-0.00242688615082521,0.030851422587459,10
"distance20",100,-0.0507555245393272,-0.0268995673768383,-0.0030129311934264,0.02730946244515,10
"distance20",1000,-0.0540358977923814,-0.0301898379499432,-0.00630936321867253,0.0132302094064903,10
"distance20",10000,-0.0685360191267842,-0.0447701216967659,-0.0209534404789395,0.000231293479425519,10
"distance20",100000,-0.152953241285457,-0.129824166328342,-0.106552941929678,0.00000000000000000000000000256090130922835,10
"distance500",50,-0.0499221403998874,-0.0253662889529101,-0.000779788373615794,0.0431676933071516,10
"distance500",100,-0.0466085328330916,-0.02205067948471,0.00253381267456513,0.0787498497283197,10
