"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterArea",50,-0.03097876,-0.007391638,0.01620371,0.5392274,0
"waterArea",100,-0.0253537,-0.001762226,0.02183121,0.8836243,0
"waterArea",1000,-0.01091619,0.0126796,0.03626128,0.2922261,0
"waterArea",10000,0.02361172,0.04717796,0.0706918,0.00008820527,0
"waterArea",100000,0.1159895,0.1392011,0.1622608,0.0000000000000000000000000000003295818,0
"waterArea20",50,-0.007684081,0.01591133,0.03948903,0.1862581,0
"waterArea20",100,-0.005404232,0.01819061,0.04176521,0.130764,0
"waterArea20",1000,0.01626015,0.03983739,0.06337036,0.0009318394,0
"waterArea20",10000,0.04442464,0.06794595,0.09139197,0.00000003202609,0
"waterArea20",100000,0.1340696,0.157165,0.1800898,0.000000000000000000000000000000000000002038279,0
"waterArea500",50,-0.03402042,-0.01043627,0.01315949,0.3860001,0
"waterArea500",100,-0.02377516,-0.0001827337,0.02340989,0.9878898,0
"waterArea500",1000,0.01539605,0.03897442,0.06250947,0.001201298,0
"waterArea500",10000,0.04487282,0.06839294,0.09183728,0.00000001288384,0
"waterArea500",100000,0.1340897,0.1571849,0.1801095,0.000000000000000000000000000000000000001993443,0
"waterArea1000",50,-0.006466184,0.01712895,0.04070503,0.1547679,0
"waterArea1000",100,0.002948822,0.0265395,0.05010066,0.02746498,0
"waterArea1000",1000,0.008308165,0.03189444,0.05544524,0.008050866,0
"waterArea1000",10000,0.04540707,0.06892576,0.09236808,0.00000000992453,0
"waterArea1000",100000,0.1341114,0.1572065,0.1801309,0.000000000000000000000000000000000000001945913,0
"waterArea5000",50,NA,NA,NA,NA,0
"waterArea5000",100,NA,NA,NA,NA,0
"waterArea5000",1000,-0.01688425,0.00671095,0.03029868,0.5772272,0
"waterArea5000",10000,0.04815593,0.07166703,0.09509876,0.000000005027491,0
"waterArea5000",100000,0.1342753,0.1573693,0.1802924,0.000000000000000000000000000000000000001621873,0
"waterBodies",50,-0.03924339,-0.01566537,0.00793009,0.1931573,0
"waterBodies",100,-0.04551672,-0.02194777,0.001645611,0.06826222,0
"waterBodies",1000,-0.08953559,-0.06608266,-0.04255648,0.00000003906089,0
"waterBodies",10000,-0.09229098,-0.06884837,-0.04532947,0.00000002061835,0
"waterBodies",100000,-0.0997477,-0.07633482,-0.05283745,0.0000000002154797,0
"total_precipitation",50,0.1644915,0.187653,0.2106077,0.000000000000000000000000000000000000000000000000000002347117,0
"total_precipitation",100,0.164943,0.1881007,0.2110512,0.000000000000000000000000000000000000000000000000000001302843,0
"total_precipitation",1000,0.1643212,0.1873938,0.2102614,0.000000000000000000000000000000000000000000000000000001273911,0
"total_precipitation",10000,0.1675203,0.1903604,0.2129964,0.000000000000000000000000000000000000000000000000000000002503079,0
