variableType;bufferSize;lowerR;r;upperR;p;persistence
distance20;50;-0.020966633;0.00268383;0.026331291;0.824007003;0
distance20;100;-0.026412957;-0.002765553;0.020884945;0.818739777;0
distance20;1000;-0.028360647;-0.004719843;0.018926238;0.695653598;0
distance20;10000;-0.029680419;-0.006071612;0.017543965;0.614336149;0
distance20;100000;0.013461103;0.037041864;0.060581446;0.002084837;0
distance500;50;-0.01518185;0.008446246;0.032064915;0.483541239;0
distance500;100;-0.020857478;0.002768953;0.026392294;0.81833909;0
distance500;1000;-0.023813922;-0.000207829;0.023398497;0.986234855;0
distance500;10000;-0.033135918;-0.00955086;0.01404483;0.427577823;0
distance500;100000;0.012159345;0.035741617;0.059284151;0.002980297;0
distance1000;50;-0.017169137;0.009855773;0.036866294;0.474743897;0
distance1000;100;-0.025069591;-0.001474519;0.022122194;0.902534201;0
distance1000;1000;-0.026859869;-0.003269416;0.020324676;0.785953438;0
distance1000;10000;-0.033766761;-0.010182348;0.013413399;0.397663985;0
distance1000;100000;0.011834785;0.035417421;0.05896068;0.006504989;0
distance5000;50;NA;NA;NA;NA;0
distance5000;100;-0.064391762;-0.015295901;0.033873828;0.542081125;0
distance5000;1000;-0.037387712;-0.013803946;0.009795189;0.251592987;0
distance5000;10000;-0.040036155;-0.016459177;0.007136119;0.171548537;0
distance5000;100000;0.009201443;0.03278685;0.056335798;0.012894851;0
distance20;50;-0.010475063;0.013418642;0.037297033;0.271007066;10
distance20;100;-0.010019664;0.013872228;0.037748291;0.255102694;10
distance20;1000;-0.012457428;0.011430998;0.035306382;0.348298342;10
distance20;10000;-0.015839132;0.008002934;0.031835904;0.51061279;10
distance20;100000;-0.006080912;0.017519256;0.041099919;0.291337855;10
distance500;50;-0.012495981;0.012094722;0.036670804;0.335038044;10
distance500;100;-0.010000626;0.014586078;0.039155157;0.24491358;10
distance500;1000;-0.008812812;0.015731278;0.040256425;0.209019056;10
distance500;10000;-0.008757275;0.015590965;0.039920729;0.209451053;10
distance500;100000;0.019961758;0.043734315;0.067457449;0.000627269;10
distance1000;50;0.006806456;0.03561138;0.064357254;0.01540416;10
distance1000;100;0.012089229;0.037306225;0.062475798;0.003746025;10
distance1000;1000;0.007706999;0.032876906;0.058005181;0.010475928;10
distance1000;10000;0.006274442;0.030973533;0.055634854;0.013987909;10
distance1000;100000;0.026428284;0.050212833;0.073940563;7.12161E-05;10
distance5000;50;NA;NA;NA;NA;10
distance5000;100;-0.081425265;-0.020856207;0.039866333;0.5008515;10
distance5000;1000;-0.036892513;-0.008026692;0.020852512;0.585938612;10
