variableType;bufferSize;lowerR;r;upperR;p;persistence
distance20;50;-0.025290375;-0.001678315;0.021935617;0.889224883;0
distance20;100;-0.031543608;-0.007936457;0.015679544;0.510111171;0
distance20;1000;-0.033336161;-0.009734186;0.013878639;0.419098678;0
distance20;10000;-0.046833389;-0.023266572;0.000326132;0.053253671;0
distance20;100000;0.01202155;0.035603977;0.05914682;0.003093216;0
distance500;50;-0.02784635;-0.004194815;0.019461415;0.728196073;0
distance500;100;-0.033938592;-0.01029428;0.01336155;0.393699729;0
distance500;1000;-0.038123154;-0.014502567;0.009134217;0.229132571;0
distance500;10000;-0.045311478;-0.021723371;0.001888947;0.071358836;0
distance500;100000;0.01129942;0.034882646;0.058427087;0.007502701;0
distance1000;50;-0.029035677;-0.002016921;0.02500478;0.883706573;0
distance1000;100;-0.037376317;-0.013792537;0.009806599;0.251985084;0
distance1000;1000;-0.039324956;-0.015747041;0.0078484;0.190845782;0
distance1000;10000;-0.046900245;-0.023333539;0.000259129;0.052571643;0
distance1000;100000;0.011834785;0.035417421;0.05896068;0.006504989;0
distance5000;50;NA;NA;NA;NA;0
distance5000;100;-0.072272197;-0.02321037;0.025963511;0.354863482;0
distance5000;1000;-0.046878422;-0.02330826;0.000287843;0.052862596;0
distance5000;10000;-0.050607956;-0.027047726;-0.003457407;0.024634755;0
distance5000;100000;0.009201443;0.03278685;0.056335798;0.012894851;0
distance20;50;-0.026002932;-0.002377609;0.021250369;0.843666569;10
distance20;100;-0.032466086;-0.008846088;0.014783785;0.463111323;10
distance20;1000;-0.034436035;-0.010821487;0.012805138;0.369334495;10
distance20;10000;-0.039377747;-0.015789635;0.007816065;0.189841077;10
distance20;100000;0.015390301;0.038968676;0.062503737;0.001203312;10
distance500;50;-0.012946486;0.011183298;0.035300065;0.363671275;10
distance500;100;-0.010654617;0.013471482;0.037581905;0.273763548;10
distance500;1000;-0.011862102;0.012222113;0.036292156;0.319902924;10
distance500;10000;-0.006682117;0.017282306;0.041226889;0.157506201;10
distance500;100000;0.042678104;0.066232968;0.089714243;7.56217E-08;10
distance1000;50;0.001024558;0.029188766;0.057306705;0.042234377;10
distance1000;100;-0.002821476;0.021821376;0.046437741;0.082636495;10
distance1000;1000;-0.000335661;0.024267018;0.048840337;0.053210315;10
distance1000;10000;-0.012094534;0.012197819;0.036475783;0.325029659;10
distance1000;100000;0.045049049;0.068754712;0.092382987;2.80919E-08;10
distance5000;50;NA;NA;NA;NA;10
distance5000;100;-0.066832513;-0.007429921;0.052025156;0.806614034;10
distance5000;1000;-0.021153378;0.007050841;0.035243845;0.624168754;10
distance5000;10000;-0.030106046;-0.002803707;0.024502812;0.840531239;10
distance5000;100000;0.037308397;0.061343081;0.085306836;1.17768E-06;10
distance20;50;-0.013669697;0.010199169;0.034056418;0.402309691;20
distance20;100;-0.012537518;0.011331411;0.035187434;0.352121086;20
distance20;1000;-0.014417582;0.009449439;0.033305699;0.437752473;20
distance20;10000;-0.022163663;0.001620008;0.025401845;0.893808911;20
distance20;100000;0.029737057;0.053292193;0.076788173;1.88668E-05;20
